affix	stem	stemPOS	derived	derivedPOS	type	relatedness_score	relatedness_class	quality_score	quality_class
-al	antipodes	n	antipodal	j	test	6	HR	1.833333333	LQ
-ic	apoplexy	n	apoplectic	j	test	6.43	HR	2.866666667	LQ
-ize	apostate	n	apostatize	v	test	6.29	HR	4.066666667	HQ
-ment	appease	v	appeasement	n	test	6.29	HR	1.4	LQ
-ment	appoint	v	appointment	n	test	5.43	HR	4.3	HQ
-ist	archaeology	n	archaeologist	n	test	6.43	HR	5.133333333	HQ
-al	architecture	n	architectural	j	test	6.29	HR	5.1	HQ
-ist	archives	n	archivist	n	test	6.43	HR	4.533333333	HQ
-ment	argue	v	argument	n	test	6.29	HR	4.333333333	HQ
-ment	arraign	v	arraignment	n	test	6.29	HR	4.966666667	HQ
-al	arrive	n	arrival	j	test	5.57	HR	5.666666667	HQ
-al	artery	n	arterial	j	test	6.43	HR	5.266666667	HQ
-ful	art	n	artful	j	test	6.29	HR	5.133333333	HQ
-ness	artful	j	artfulness	n	test	6.43	HR	2.733333333	LQ
-y	ash	n	ashy	j	test	5.57	HR	4.633333333	HQ
-ness	assertive	j	assertiveness	n	test	6.29	HR	2.466666667	LQ
-ist	atheism	n	atheist	n	test	6.43	HR	3.8	HQ
-ic	atom	n	atomic	j	test	6.14	HR	4.2	HQ
-ment	attach	v	attachment	n	test	6.14	HR	3.966666667	HQ
-ity	audible	j	audibility	n	test	6	HR	4.433333333	HQ
-ize	author	n	authorize	v	test	4.86	LR	4	HQ
-ous	autonomy	n	autonomous	j	test	6.43	HR	2.933333333	LQ
-able	avail	v	available	j	test	4.57	LR	1.866666667	LQ
-ness	aware	j	awareness	n	test	6.43	HR	3.3	HQ
-ful	awe	n	awful	j	test	2.57	LR	6.8	HQ
-less	back	n	backless	j	test	3.57	LR	3.433333333	HQ
-ist	baptism	n	Baptist	n	test	5.43	HR	5.766666667	HQ
-ment	base	v	basement	n	test	2.43	LR	4.4	HQ
-ful	basket	n	basketful	j	test	5.43	HR	1.433333333	LQ
-able	bear	v	bearable	j	test	3.14	LR	2.366666667	LQ
-y	beer	n	beery	j	test	4.86	LR	2.166666667	LQ
-er	begin	v	beginner	n	test	5.71	HR	3.6	HQ
-able	believe	v	believable	j	test	6.29	HR	3.933333333	HQ
-er	besiege	v	besieger	n	test	6.29	HR	2.1	LQ
-able	bid	v	biddable	j	test	6.14	HR	1.866666667	LQ
-ous	bile	n	bilious	j	test	3.86	LR	3.266666667	HQ
-ness	blank	j	blankness	n	test	6.43	HR	5.266666667	HQ
-er	blaspheme	v	blasphemer	n	test	6.29	HR	5.466666667	HQ
-ous	blasphemy	n	blasphemous	j	test	6.43	HR	6.5	HQ
-er	bleach	v	bleacher	n	test	1	LR	3.533333333	HQ
-ful	boast	n	boastful	j	test	6.43	HR	5.1	HQ
-ness	bold	j	boldness	n	test	6.43	HR	3.433333333	HQ
-able	book	v	bookable	j	test	5	LR	4.733333333	HQ
-er	bore	v	borer	n	test	6	HR	2.266666667	LQ
-ize	botany	n	botanize	v	test	6.29	HR	1.866666667	LQ
-less	bound	n	boundless	j	test	4.29	LR	5.9	HQ
-able	break	v	breakable	j	test	6.43	HR	1.9	LQ
-less	breath	n	breathless	j	test	3.29	LR	4.933333333	HQ
-y	bulk	n	bulky	j	test	6.14	HR	2	LQ
-er	bust	v	buster	n	test	2.57	LR	2.466666667	LQ
-y	cage	n	cagey	j	test	3.71	LR	2.566666667	LQ
-ous	cancer	n	cancerous	j	test	6	HR	4.733333333	HQ
-ist	capitalism	n	capitalist	n	test	6.71	HR	5.2	HQ
-ly	capricious	j	capriciously	r	test	6.29	HR	3.933333333	HQ
-ize	carbon	n	carbonize	v	test	6.29	HR	3.133333333	HQ
-ic	catatonia	n	catatonic	j	test	5.57	HR	4.633333333	HQ
-ize	catechism	n	catechize	v	test	6.14	HR	3.666666667	HQ
-ity	catholic	j	catholicity	n	test	6.43	HR	1.833333333	LQ
-y	cat	n	catty	j	test	3.57	LR	4.633333333	HQ
-al	cause	n	causal	j	test	3.86	LR	3.366666667	HQ
-less	cause	n	causeless	j	test	2.71	LR	2.2	LQ
-ic	Celt	n	Celtic	j	test	6.29	HR	5.166666667	HQ
-al	centrifuge	n	centrifugal	j	test	6.14	HR	3.566666667	HQ
-al	cervix	n	cervical	j	test	5.71	HR	3.466666667	HQ
-y	chance	n	chancy	j	test	6.29	HR	1.633333333	LQ
-ity	changeable	j	changeability	n	test	6.57	HR	2	LQ
-ful	change	n	changeful	j	test	6.14	HR	1.233333333	LQ
-ic	chaos	n	chaotic	j	test	6.71	HR	6.366666667	HQ
-ize	character	n	characterize	v	test	5.57	HR	5.6	HQ
-ment	chastise	v	chastisement	n	test	6.14	HR	3.6	HQ
-ist	chauvinism	n	chauvinist	n	test	6.29	HR	3.133333333	HQ
-ful	cheer	n	cheerful	j	test	6.29	HR	5.833333333	HQ
-y	chirp	n	chirpy	j	test	6.43	HR	4.133333333	HQ
-er	choke	v	choker	n	test	5.57	HR	4.833333333	HQ
-ity	Christian	j	Christianity	n	test	6.29	HR	5.933333333	HQ
-ic	class	n	classic	j	test	2.14	LR	4.633333333	HQ
-y	class	n	classy	j	test	6.14	HR	5.2	HQ
-ic	climate	n	climatic	j	test	4.14	LR	3.7	HQ
-y	cling	n	clingy	j	test	6.57	HR	2.066666667	LQ
-ly	clinical	j	clinically	r	test	6.57	HR	3.266666667	HQ
-ness	close	j	closeness	n	test	6.57	HR	5	HQ
-y	cloud	n	cloudy	j	test	6.14	HR	5	HQ
-ly	cohesive	j	cohesively	r	test	6.43	HR	3.433333333	HQ
-al	coincidence	n	coincidental	j	test	6.43	HR	4.2	HQ
-ist	collaboration	n	collaborationist	n	test	6.29	HR	2.166666667	LQ
-ize	collective	n	collectivize	v	test	6.43	HR	3.866666667	HQ
-ize	colony	n	colonize	v	test	6.43	HR	6.166666667	HQ
-ness	comely	j	comeliness	n	test	5.71	HR	1.833333333	LQ
-er	command	v	commander	n	test	6.43	HR	4.8	HQ
-ment	commence	v	commencement	n	test	6.57	HR	2.133333333	LQ
-ize	commercial	n	commercialize	v	test	6.29	HR	3.1	HQ
-able	communicate	v	communicable	j	test	4.43	LR	3.1	HQ
-able	compare	v	comparable	j	test	6.43	HR	5.2	HQ
-ity	compatible	j	compatibility	n	test	6.57	HR	3.666666667	HQ
-ion	complete	v	completion	n	test	6.29	HR	4.533333333	HQ
-ly	compulsory	j	compulsorily	r	test	6.86	HR	1.7	LQ
-ity	conductive	j	conductivity	n	test	6.43	HR	2.466666667	LQ
-al	congress	n	congressional	j	test	6.29	HR	5.3	HQ
-ity	consanguineous	j	consanguinity	n	test	6.43	HR	3.433333333	HQ
-ness	conscious	j	consciousness	n	test	6.29	HR	3.966666667	HQ
-ion	conscript	v	conscription	n	test	6.29	HR	2.166666667	LQ
-ize	container	n	containerize	v	test	6.29	HR	4.1	HQ
-ion	contraindicate	v	contraindication	n	test	5.71	HR	3.566666667	HQ
-ous	contumacy	n	contumacious	j	test	6.43	HR	4.333333333	HQ
-ion	convene	v	convention	n	test	5	LR	2.3	LQ
-al	convention	n	conventional	j	test	5.43	HR	2.7	LQ
-ity	convivial	j	conviviality	n	test	6.29	HR	4.4	HQ
-ion	create	v	creation	n	test	6.29	HR	3.466666667	HQ
-er	creep	v	creeper	n	test	6.57	HR	3.633333333	HQ
-ous	cretin	n	cretinous	j	test	6.29	HR	2.933333333	LQ
-er	cruise	v	cruiser	n	test	5.57	HR	5.166666667	HQ
-ize	crystal	n	crystallize	v	test	6.43	HR	5.3	HQ
-y	cuddle	n	cuddly	j	test	6.14	HR	4.466666667	HQ
-ous	danger	n	dangerous	j	test	6.57	HR	5.166666667	HQ
-er	daydream	v	daydreamer	n	test	6.29	HR	1.533333333	LQ
-ness	deadly	j	deadliness	n	test	5.71	HR	2.066666667	LQ
-less	death	n	deathless	j	test	3.43	LR	3.233333333	HQ
-able	debate	v	debatable	j	test	6.43	HR	4.433333333	HQ
-ful	deceit	n	deceitful	j	test	6.57	HR	5.333333333	HQ
-ous	decorum	n	decorous	j	test	5.14	HR	3.766666667	HQ
-ness	defective	j	defectiveness	n	test	6.43	HR	1.833333333	LQ
-ness	deft	j	deftness	n	test	5.86	HR	2.333333333	LQ
-ize	democrat	n	democratize	v	test	5.14	HR	4.1	HQ
-able	demonstrate	v	demonstrable	j	test	6.43	HR	3.6	HQ
-ion	demote	v	demotion	n	test	6.14	HR	2.266666667	LQ
-ment	deport	v	deportment	n	test	4.57	LR	2.266666667	LQ
-ment	derail	v	derailment	n	test	6.43	HR	3.933333333	HQ
-ion	deride	v	derision	n	test	5	LR	5.1	HQ
-ist	dermatology	n	dermatologist	n	test	6.57	HR	3.4	HQ
-able	desire	v	desirable	j	test	6.43	HR	4.166666667	HQ
-ous	desire	n	desirous	j	test	6.29	HR	2.5	LQ
-able	despise	v	despicable	j	test	6.29	HR	5.933333333	HQ
-ment	detach	v	detachment	n	test	6.43	HR	3	HQ
-ion	detain	v	detention	n	test	6.57	HR	5.366666667	HQ
-ment	dethrone	v	dethronement	n	test	6.43	HR	4.333333333	HQ
-al	detriment	n	detrimental	j	test	6.29	HR	5.6	HQ
-ment	develop	v	development	n	test	6.57	HR	4.133333333	HQ
-ic	diagnosis	n	diagnostic	j	test	6.14	HR	3.9	HQ
-ity	digestible	j	digestibility	n	test	6.57	HR	3.866666667	HQ
-ment	disable	v	disablement	n	test	5.57	HR	4.333333333	HQ
-able	disagree	v	disagreeable	j	test	6.29	HR	5.733333333	HQ
-ly	disagreeable	j	disagreeably	r	test	6.57	HR	1.866666667	LQ
-ment	disagree	v	disagreement	n	test	6.71	HR	5.133333333	HQ
-ous	disaster	n	disastrous	j	test	6.29	HR	4.2	HQ
-ful	disdain	n	disdainful	j	test	6.14	HR	5	HQ
-ment	disentangle	v	disentanglement	n	test	6.14	HR	2.833333333	LQ
-ment	disfranchise	v	disfranchisement	n	test	6	HR	3.133333333	HQ
-ion	disinfect	v	disinfection	n	test	6.29	HR	3.633333333	HQ
-ment	disparage	v	disparagement	n	test	6.14	HR	5	HQ
-able	dispense	v	dispensable	j	test	5.71	HR	1.166666667	LQ
-ment	displace	v	displacement	n	test	6.57	HR	2.133333333	LQ
-ion	dispossess	v	dispossession	n	test	6.43	HR	2.8	LQ
-ion	dissociate	v	dissociation	n	test	6.57	HR	1.8	LQ
-ful	distaste	n	distasteful	j	test	6.14	HR	5.566666667	HQ
-able	distinguish	v	distinguishable	j	test	5.57	HR	4.833333333	HQ
-ful	distress	n	distressful	j	test	6.57	HR	2.833333333	LQ
-ly	divine	j	divinely	r	test	6.43	HR	5.2	HQ
-ity	divine	j	divinity	n	test	6.14	HR	6	HQ
-ity	docile	j	docility	n	test	6.57	HR	3.3	HQ
-y	dodge	n	dodgy	j	test	5.86	HR	2.533333333	LQ
-y	dog	n	doggy	j	test	6.57	HR	1.966666667	LQ
-ic	dogma	n	dogmatic	j	test	4.71	LR	5.733333333	HQ
-ful	dole	n	doleful	j	test	6.14	HR	4.866666667	HQ
-y	dope	n	dopey	j	test	6.29	HR	2.2	LQ
-ful	doubt	n	doubtful	j	test	6.29	HR	5.566666667	HQ
-y	dress	n	dressy	j	test	3.57	LR	2.8	LQ
-able	drink	v	drinkable	j	test	6.29	HR	2.533333333	LQ
-al	duke	n	ducal	j	test	4	LR	4.133333333	HQ
-ist	duel	n	duellist	n	test	6.14	HR	2.5	LQ
-ion	duplicate	v	duplication	n	test	6.29	HR	1.5	LQ
-ity	durable	j	durability	n	test	6.29	HR	5.5	HQ
-ful	duty	n	dutiful	j	test	6.14	HR	4.966666667	HQ
-ity	eccentric	j	eccentricity	n	test	5.43	HR	2.933333333	LQ
-ly	ecumenical	j	ecumenically	r	test	6.43	HR	2.633333333	LQ
-ness	eerie	j	eeriness	n	test	6.43	HR	1.9	LQ
-ness	effortless	j	effortlessness	n	test	6.57	HR	3.533333333	HQ
-ic	egoist	n	egoistic	j	test	6.43	HR	5.033333333	HQ
-ic	egotist	n	egotistic	j	test	6.14	HR	3.1	HQ
-al	element	n	elemental	j	test	6	HR	3.8	HQ
-ic	ellipse	n	elliptic	j	test	6.14	HR	3.4	HQ
-ment	embarrass	v	embarrassment	n	test	6.29	HR	3.366666667	HQ
-ic	emphasis	n	emphatic	j	test	5.71	HR	3.1	HQ
-er	employ	v	employer	n	test	6.14	HR	5.033333333	HQ
-ment	employ	v	employment	n	test	6.43	HR	4.8	HQ
-ment	encourage	v	encouragement	n	test	6.57	HR	4.933333333	HQ
-ly	endless	j	endlessly	r	test	6.43	HR	5.4	HQ
-ize	energy	n	energize	v	test	6.57	HR	6.6	HQ
-ment	enforce	v	enforcement	n	test	6.43	HR	3.833333333	HQ
-ic	enigma	n	enigmatic	j	test	6	HR	5.233333333	HQ
-able	enjoy	v	enjoyable	j	test	6.57	HR	4.8	HQ
-ment	enlarge	v	enlargement	n	test	6.57	HR	3.133333333	HQ
-ment	enlist	v	enlistment	n	test	6.29	HR	2.866666667	LQ
-ment	enrich	v	enrichment	n	test	6.43	HR	3.433333333	HQ
-ment	enthrone	v	enthronement	n	test	6.29	HR	3.7	HQ
-ic	enthusiast	n	enthusiastic	j	test	6.29	HR	2.7	LQ
-ment	entomb	v	entombment	n	test	6.43	HR	4.7	HQ
-ment	envelop	v	envelopment	n	test	4.57	LR	3.333333333	HQ
-ist	environmentalism	n	environmentalist	n	test	6.57	HR	5.466666667	HQ
-al	episcopacy	n	episcopal	j	test	6.29	HR	3.4	HQ
-ize	equal	n	equalize	v	test	6	HR	3.5	HQ
-ment	estrange	v	estrangement	n	test	6.57	HR	3.066666667	HQ
-ic	evangelist	n	evangelistic	j	test	6.57	HR	5.6	HQ
-ly	exaggerated	j	exaggeratedly	r	test	6.43	HR	2.566666667	LQ
-able	exchange	v	exchangeable	j	test	6.29	HR	2.533333333	LQ
-ion	excommunicate	v	excommunication	n	test	6.57	HR	4.833333333	HQ
-able	excuse	v	excusable	j	test	5.86	HR	5.366666667	HQ
-ion	execute	v	execution	n	test	6.29	HR	4.566666667	HQ
-ion	exhilarate	v	exhilaration	n	test	6.57	HR	6.2	HQ
-able	expand	v	expandable	j	test	5.71	HR	2	LQ
-ion	expand	v	expansion	n	test	6.14	HR	4.366666667	HQ
-ous	expedition	n	expeditious	j	test	4.29	LR	4.8	HQ
-ly	extortionate	j	extortionately	r	test	6.43	HR	2.2	LQ
-ist	extortion	n	extortionist	n	test	6.25	HR	4.933333333	HQ
-ion	extract	v	extraction	n	test	6.57	HR	2.7	LQ
-ist	extremism	n	extremist	n	test	6.29	HR	4.766666667	HQ
-ize	factor	n	factorize	v	test	5	LR	3.733333333	HQ
-able	fashion	v	fashionable	j	test	6.14	HR	6.166666667	HQ
-ist	fatalism	n	fatalist	n	test	6.14	HR	2.433333333	LQ
-ful	fate	n	fateful	j	test	6.14	HR	3.433333333	HQ
-ly	fateful	j	fatefully	r	test	5.86	HR	2.3	LQ
-less	father	n	fatherless	j	test	3.71	LR	4.4	HQ
-less	fault	n	faultless	j	test	3.43	LR	4.366666667	HQ
-ous	ferocity	n	ferocious	j	test	6.43	HR	6.266666667	HQ
-al	feud	n	feudal	j	test	3.29	LR	3.866666667	HQ
-less	flavour	n	flavourless	j	test	4.86	LR	3.5	HQ
-er	fly	v	flier	n	test	5	LR	4.366666667	HQ
-y	flight	n	flighty	j	test	3.43	LR	2.166666667	LQ
-er	flip	v	flipper	n	test	2.43	LR	3.866666667	HQ
-al	flora	n	floral	j	test	4.43	LR	6.066666667	HQ
-ist	flora	n	florist	n	test	5.71	HR	1.833333333	LQ
-ist	folklore	n	folklorist	n	test	6.14	HR	3.866666667	HQ
-able	foresee	v	foreseeable	j	test	6.43	HR	4.9	HQ
-ize	fossil	n	fossilize	v	test	6.29	HR	3.2	HQ
-al	fraction	n	fractional	j	test	6.57	HR	4.033333333	HQ
-al	fragment	n	fragmental	j	test	6.57	HR	2.666666667	LQ
-ness	fresh	j	freshness	n	test	6.57	HR	3.066666667	HQ
-able	fry	v	friable	j	test	4.57	LR	2.133333333	LQ
-less	friend	n	friendless	j	test	4.43	LR	3.933333333	HQ
-ity	frivolous	j	frivolity	n	test	6.29	HR	3.466666667	HQ
-al	front	n	frontal	j	test	6	HR	4.366666667	HQ
-y	frost	n	frosty	j	test	6.14	HR	3.166666667	HQ
-ity	frugal	j	frugality	n	test	6.43	HR	2.4	LQ
-ful	fruit	n	fruitful	j	test	4	LR	4.2	HQ
-less	fruit	n	fruitless	j	test	2.14	LR	4.5	HQ
-y	fuzz	n	fuzzy	j	test	6.29	HR	1.6	LQ
-ic	gastronomy	n	gastronomic	j	test	6.71	HR	5.133333333	HQ
-er	gatecrash	v	gatecrasher	n	test	6.29	HR	4.566666667	HQ
-ous	gelatin	n	gelatinous	j	test	6.29	HR	4.533333333	HQ
-ist	genealogy	n	genealogist	n	test	6.5	HR	4.733333333	HQ
-ion	gesticulate	v	gesticulation	n	test	6.29	HR	3.933333333	HQ
-ly	glib	j	glibly	r	test	6.29	HR	2.8	LQ
-al	globe	n	global	j	test	6.43	HR	5.7	HQ
-ly	glowing	j	glowingly	r	test	6.29	HR	2.266666667	LQ
-less	god	n	godless	j	test	3.14	LR	6	HQ
-ist	graphology	n	graphologist	n	test	6.14	HR	2.433333333	LQ
-less	ground	n	groundless	j	test	2.71	LR	4.666666667	HQ
-er	growl	v	growler	n	test	5.57	HR	1.833333333	LQ
-ist	gynaecology	n	gynaecologist	n	test	6.43	HR	3	HQ
-less	hair	n	hairless	j	test	3.29	LR	1.9	LQ
-ly	halting	j	haltingly	r	test	6.57	HR	1.733333333	LQ
-y	hand	n	handy	j	test	2	LR	1.733333333	LQ
-ness	hard	j	hardness	n	test	6.43	HR	4.4	HQ
-ly	harmful	j	harmfully	r	test	6.14	HR	3.266666667	HQ
-ize	harmony	n	harmonize	v	test	6.43	HR	6.566666667	HQ
-er	harp	v	harper	n	test	4.43	LR	3.266666667	HQ
-er	harry	v	harrier	n	test	4.14	LR	3.8	HQ
-y	haste	n	hasty	j	test	6.29	HR	6.576666667	HQ
-ful	hate	n	hateful	j	test	6.43	HR	5.466666667	HQ
-ous	hazard	n	hazardous	j	test	6.43	HR	4.7	HQ
-ful	health	n	healthful	j	test	6.57	HR	5.466666667	HQ
-y	health	n	healthy	j	test	6.57	HR	5.766666667	HQ
-ness	heartless	j	heartlessness	n	test	6.43	HR	4.633333333	HQ
-less	heed	n	heedless	j	test	3	LR	3.7	HQ
-ful	help	n	helpful	j	test	6.29	HR	5.8	HQ
-less	help	n	helpless	j	test	3.43	LR	6.266666667	HQ
-ic	hierarchy	n	hierarchic	j	test	6.29	HR	6.033333333	HQ
-er	hijack	v	hijacker	n	test	6.29	HR	5.2	HQ
-er	honeymoon	v	honeymooner	n	test	6.14	HR	5.033333333	HQ
-able	honour	v	honourable	j	test	6.14	HR	5.033333333	HQ
-er	hoot	v	hooter	n	test	5	LR	1.866666667	LQ
-less	hope	n	hopeless	j	test	4.71	LR	6.033333333	HQ
-ness	hopeless	j	hopelessness	n	test	6.29	HR	5.233333333	HQ
-al	horticulture	n	horticultural	j	test	6.43	HR	5.9	HQ
-ist	humanism	n	humanist	n	test	6.43	HR	4.566666667	HQ
-ful	hurt	n	hurtful	j	test	6.57	HR	6.066666667	HQ
-y	husk	n	husky	j	test	2	LR	3.966666667	HQ
-ic	hyperbola	n	hyperbolic	j	test	5.71	HR	2.666666667	LQ
-ic	hypnosis	n	hypnotic	j	test	6.43	HR	3.7	HQ
-ist	hypnotism	n	hypnotist	n	test	6.43	HR	5.5	HQ
-ize	hypnotism	n	hypnotize	v	test	6.14	HR	5.166666667	HQ
-y	ice	n	icy	j	test	6.43	HR	6.333333333	HQ
-ist	ideology	n	ideologist	n	test	6.57	HR	4.033333333	HQ
-ous	ignominy	n	ignominious	j	test	6.14	HR	4.666666667	HQ
-ity	illogical	j	illogicality	n	test	6.14	HR	2.966666667	LQ
-ize	immortal	n	immortalize	v	test	6.14	HR	3.333333333	HQ
-ment	impale	v	impalement	n	test	6.57	HR	4.733333333	HQ
-ity	impossible	j	impossibility	n	test	6.14	HR	2.633333333	LQ
-ment	improve	v	improvement	n	test	6.29	HR	6.5	HQ
-ness	impulsive	j	impulsiveness	n	test	6.57	HR	2.833333333	LQ
in-	accurate	j	inaccurate	j	test	4.29	LR	6.333333333	HQ
in-	active	j	inactive	j	test	4.14	LR	4.566666667	HQ
-ion	inaugurate	v	inauguration	n	test	6.29	HR	5.266666667	HQ
in-	auspicious	j	inauspicious	j	test	3	LR	4.533333333	HQ
in-	capable	j	incapable	j	test	2	LR	4.3	HQ
in-	cautious	j	incautious	j	test	3	LR	4.966666667	HQ
-ion	include	v	inclusion	n	test	6.43	HR	3.133333333	HQ
in-	commensurate	j	incommensurate	j	test	4.57	LR	3.533333333	HQ
in-	communicable	j	incommunicable	j	test	3.43	LR	2.4	LQ
-ity	incompatible	j	incompatibility	n	test	6.43	HR	4.1	HQ
in-	competent	j	incompetent	j	test	3.86	LR	5.566666667	HQ
in-	comprehensible	j	incomprehensible	j	test	4.14	LR	5	HQ
in-	conceivable	j	inconceivable	j	test	3.14	LR	5.133333333	HQ
-ly	inconceivable	j	inconceivably	r	test	6.43	HR	2.766666667	LQ
in-	consequential	j	inconsequential	j	test	4	LR	1.966666667	LQ
in-	considerable	j	inconsiderable	j	test	3.29	LR	2.033333333	LQ
in-	convertible	j	inconvertible	j	test	3.71	LR	2.3	LQ
-ly	incredible	j	incredibly	r	test	6.71	HR	4	HQ
in-	decisive	j	indecisive	j	test	3.86	LR	3.3	HQ
in-	definable	j	indefinable	j	test	4.43	LR	2.633333333	LQ
in-	definite	j	indefinite	j	test	2.29	LR	3.6	HQ
in-	dependent	j	independent	j	test	2.14	LR	2.466666667	LQ
in-	destructible	j	indestructible	j	test	4	LR	5	HQ
in-	determinate	j	indeterminate	j	test	2.71	LR	3.133333333	HQ
in-	disputable	j	indisputable	j	test	3.43	LR	5.933333333	HQ
-ity	indissoluble	j	indissolubility	n	test	6.43	HR	2.733333333	LQ
in-	divisible	j	indivisible	j	test	2.71	LR	5.066666667	HQ
-ment	induce	v	inducement	n	test	6.43	HR	1.833333333	LQ
-ion	induct	v	induction	n	test	6.29	HR	1.4	LQ
-al	industry	n	industrial	j	test	6.43	HR	4.166666667	HQ
in-	edible	j	inedible	j	test	2.86	LR	2.8	LQ
in-	effectual	j	ineffectual	j	test	4.14	LR	5	HQ
in-	efficient	j	inefficient	j	test	4.29	LR	5.3	HQ
in-	estimable	j	inestimable	j	test	3.43	LR	2.233333333	LQ
in-	excusable	j	inexcusable	j	test	4.57	LR	4	HQ
-ly	infernal	j	infernally	r	test	6.57	HR	3.566666667	HQ
in-	fertile	j	infertile	j	test	2.86	LR	3.1	HQ
-ion	infiltrate	v	infiltration	n	test	6.57	HR	4.333333333	HQ
in-	firm	j	infirm	j	test	2.57	LR	3.166666667	HQ
-ion	inflect	v	inflection	n	test	6.29	HR	3.733333333	HQ
-ly	influential	j	influentially	r	test	6.57	HR	2.333333333	LQ
in-	formal	j	informal	j	test	3.29	LR	2.233333333	LQ
-ion	inhibit	v	inhibition	n	test	6.29	HR	3.266666667	HQ
in-	humane	j	inhumane	j	test	3.14	LR	5.8	HQ
-ous	iniquity	n	iniquitous	j	test	6.57	HR	2.933333333	LQ
in-	most	j	inmost	j	test	3.71	LR	2.266666667	LQ
-ion	innovate	v	innovation	n	test	6.71	HR	4.666666667	HQ
in-	numerable	j	innumerable	j	test	3.29	LR	4.866666667	HQ
in-	offensive	j	inoffensive	j	test	3.71	LR	2.8	LQ
in-	operable	j	inoperable	j	test	3.14	LR	1.866666667	LQ
in-	organic	j	inorganic	j	test	3.71	LR	3.4	HQ
in-	quest	j	inquest	j	test	3	LR	4.266666667	HQ
in-	sane	j	insane	j	test	2.29	LR	5.666666667	HQ
in-	secure	j	insecure	j	test	5	LR	3.9	HQ
-ity	insecure	j	insecurity	n	test	6.43	HR	3.766666667	HQ
in-	sensible	j	insensible	j	test	2.71	LR	3.033333333	HQ
in-	sentient	j	insentient	j	test	2	LR	2.533333333	LQ
in-	soluble	j	insoluble	j	test	3.86	LR	2.433333333	LQ
in-	solvent	j	insolvent	j	test	3.71	LR	4.033333333	HQ
-ly	instinctive	j	instinctively	r	test	6.14	HR	3.666666667	HQ
-al	institution	n	institutional	j	test	6	HR	4.1	HQ
in-	sufficient	j	insufficient	j	test	4	LR	3.6	HQ
-ly	insufficient	j	insufficiently	r	test	6.43	HR	1.933333333	LQ
-ity	insular	j	insularity	n	test	6.29	HR	3	HQ
in-	supportable	j	insupportable	j	test	3.71	LR	4.666666667	HQ
-al	integer	n	integral	j	test	1.14	LR	2.666666667	LQ
-ion	integrate	v	integration	n	test	5.86	HR	5.466666667	HQ
in-	tense	j	intense	j	test	3.43	LR	3.2	HQ
-ion	interact	v	interaction	n	test	6.5	HR	5	HQ
-ize	internal	n	internalize	v	test	6.14	HR	3.833333333	HQ
-al	intestine	n	intestinal	j	test	6.29	HR	4.433333333	HQ
in-	tolerable	j	intolerable	j	test	2.14	LR	4.9	HQ
in-	tractable	j	intractable	j	test	4	LR	2.666666667	LQ
-ion	invalidate	v	invalidation	n	test	6.57	HR	5.1	HQ
-ity	invisible	j	invisibility	n	test	6.29	HR	3.8	HQ
in-	visible	j	invisible	j	test	2.71	LR	4.233333333	HQ
-ly	involuntary	j	involuntarily	r	test	6.43	HR	2.9	LQ
in-	voluntary	j	involuntary	j	test	3.29	LR	2.733333333	LQ
in-	vulnerable	j	invulnerable	j	test	2.86	LR	4.633333333	HQ
-able	irrigate	v	irrigable	j	test	6	HR	5.266666667	HQ
